image_filename,label
007514.jpg,['Chestnuts']
007520.jpg,['Chestnuts']
007521.jpg,['Milk chocolate']
007523.jpg,['Banana']
007525.jpg,"['Salami', 'Bread, 5-grain']"
007528.jpg,['Beer']
007532.jpg,"['Cheese for raclette', 'Potatoes steamed', 'Dried meat', 'Cucumber, pickled ']"
007563.jpg,['Tomme']
007564.jpg,"['Mashed potatoes, prepared, with full fat milk, with butter']"
007567.jpg,"['Avocado', 'Egg', 'Sausage']"
007569.jpg,['Banana']
007574.jpg,['Water']
007577.jpg,"['Bread, grain', 'Butter', 'Jam']"
007578.jpg,"['Coffee, with caffeine']"
007584.jpg,"['Carrot, raw', 'Rice', 'Pumpkin', 'Fish crunchies (battered)']"
007588.jpg,['Apple']
007594.jpg,"['Hazelnut', 'Dried meat']"
007595.jpg,"['Salad, leaf / salad, green']"
007596.jpg,['Mango']
007602.jpg,"['Bread, wholemeal toast']"
007608.jpg,['Pear']
007619.jpg,"['Zucchini', 'Quinoa', 'Salmon']"
007620.jpg,['Beer']
007621.jpg,['Water']
007622.jpg,['Water']
007626.jpg,['Leek']
007627.jpg,['Tea']
007635.jpg,"['Omelette, plain', 'Berries']"
007636.jpg,['Tea']
007638.jpg,['Glucose drink 50g']
007639.jpg,['Water']
007640.jpg,['Apple']
007648.jpg,['Water']
007650.jpg,"['Coffee, with caffeine']"
007651.jpg,"['Bread, whole wheat', 'Butter', 'Honey']"
007658.jpg,"['Breadcrumbs (unspiced)', 'Broccoli', 'Mixed vegetables']"
007659.jpg,['Mandarine']
007661.jpg,"['Mashed potatoes, prepared, with full fat milk, with butter', 'Beef, minced (only meat)']"
007662.jpg,['Water']
007663.jpg,['Banana']
007665.jpg,"['Rice, Basmati', 'Tomato, raw ', ""Salad, lambs' ear"", 'Pumpkin seeds']"
007667.jpg,['Praline']
007668.jpg,"['Coffee, with caffeine']"
007674.jpg,"['Crunch Müesli', 'Soya drink (soy milk)']"
007679.jpg,['Mixed nuts']
007701.jpg,['Chocolate']
007708.jpg,"['Soup, pumpkin', 'Hard cheese', 'Pumpkin seeds', 'Sunflower seeds']"
007709.jpg,"['Müesli', 'Milk']"
007720.jpg,"['Egg', 'Bread, whole wheat', 'Avocado', 'Chicken']"
007721.jpg,"['Bread, whole wheat']"
007722.jpg,"['Yaourt, yahourt, yogourt ou yoghourt, natural']"
007723.jpg,['Glucose drink 50g']
007724.jpg,['Water']
007725.jpg,"['Coffee, with caffeine']"
007727.jpg,['Roll with pieces of chocolate']
007728.jpg,"['White coffee, with caffeine']"
007738.jpg,"['Brussel sprouts', 'Red cabbage']"
007739.jpg,['Chocolate mousse']
007740.jpg,['Sausage']
007742.jpg,['Water']
007748.jpg,"['Quinoa', 'Carrot, raw']"
007752.jpg,"['Coffee, with caffeine', 'Praline']"
007755.jpg,['Water']
007759.jpg,['Crisps']
007760.jpg,['Pear']
007761.jpg,['Soft cheese']
007762.jpg,"['Mashed potatoes, prepared, with full fat milk, with butter', 'Tomato, raw ', 'Onion', 'Sausage']"
007763.jpg,"['Wine, red']"
007764.jpg,"['Pasta, penne', 'Hard cheese']"
007767.jpg,['Water']
007769.jpg,"['Salt cake (vegetables, filled)']"
007770.jpg,['Water']
007779.jpg,['Apple pie']
007783.jpg,['Water']
007787.jpg,"['Bread, white']"
007789.jpg,"['Coffee, with caffeine']"
007790.jpg,['Water']
007794.jpg,['Apple pie']
007798.jpg,"['Salt cake (vegetables, filled)']"
007799.jpg,['Apple']
007800.jpg,"['White coffee, with caffeine']"
007801.jpg,['Water']
007802.jpg,['Water']
007806.jpg,"['Salad, leaf / salad, green', 'Chicken, leg']"
007810.jpg,['Orange']
007811.jpg,['Apple']
007813.jpg,['Cappuccino']
007816.jpg,"['Espresso, with caffeine', 'Coffee, with caffeine']"
007822.jpg,"['Müesli', 'Oat milk']"
007824.jpg,"['Cake, chocolate']"
007825.jpg,['Mandarine']
007829.jpg,['Mandarine']
007835.jpg,"['Chicken, leg', 'Mixed vegetables']"
007836.jpg,['Water']
007837.jpg,"['Coffee, with caffeine']"
007839.jpg,"['Wine, red']"
007841.jpg,"['Bread, white']"
007842.jpg,"['Wine, white']"
007843.jpg,"['Sauce, cream']"
007844.jpg,"['Pork', 'Vegetables', 'Cheese', 'Potatoes steamed']"
007846.jpg,['Cheese']
007848.jpg,"['French beans', 'Bacon']"
007850.jpg,['Dairy ice cream']
007851.jpg,"['Tête de Moine', 'Cheese', 'Bread, 5-grain']"
007854.jpg,"['Cake, chocolate']"
007856.jpg,['Praline']
007866.jpg,"['Bread, white']"
007873.jpg,['Banana']
007874.jpg,['Fruit tart']
007875.jpg,"['White coffee, with caffeine']"
007878.jpg,['Pear']
007879.jpg,['Water']
007880.jpg,"['Eggplant', 'Sausage']"
007881.jpg,"['Bread, whole wheat', 'Butter', 'Honey']"
007882.jpg,['Herbal tea']
007892.jpg,"['Tête de Moine', 'Bread, whole wheat']"
007893.jpg,['Tea']
007894.jpg,['Soft cheese']
007895.jpg,"['Quinoa', 'Mixed salad (chopped without sauce)', 'Carrot, raw']"
007902.jpg,"['Crêpe, plain', 'Hard cheese', 'Salad, leaf / salad, green']"
007903.jpg,"['Soup, pumpkin', 'Cheese', 'Sunflower seeds']"
007904.jpg,"['Crêpe, plain']"
007908.jpg,['Water']
007909.jpg,"['Bread, white', 'Butter']"
007910.jpg,"['Bacon', 'Egg', 'Mixed seeds']"
007911.jpg,"['Yaourt, yahourt, yogourt ou yoghourt, natural']"
007912.jpg,['Water']
007913.jpg,['Apple pie']
007921.jpg,['Pear']
007923.jpg,['Banana']
007927.jpg,"['Quinoa', 'Tomato, raw ', 'Cucumber', 'Salad, leaf / salad, green']"
007928.jpg,"['Avocado', 'Red cabbage', 'Salad, leaf / salad, green', 'Walnut', 'Almonds', 'Lentils', 'Cottage cheese']"
007929.jpg,['Water']
007933.jpg,"['Coffee, with caffeine']"
007934.jpg,['Pear']
007944.jpg,"['Tomato sauce', 'Lentils']"
007945.jpg,"['White coffee, with caffeine']"
007946.jpg,"['Chicken', 'French beans', 'Pumpkin']"
007950.jpg,"['Wine, red']"
007952.jpg,"['Cucumber, pickled ']"
007958.jpg,"['Apple', 'Banana']"
007965.jpg,['Apple pie']
007968.jpg,"['Coffee, with caffeine']"
007969.jpg,"['Soup, pumpkin']"
007973.jpg,"['Chips, french fries', 'Hamburger (Bread, meat, ketchup)', 'Salad, leaf / salad, green']"
007974.jpg,"['Salad, leaf / salad, green', 'Salad dressing']"
007975.jpg,"['Coffee, with caffeine']"
007978.jpg,['Crisps']
007979.jpg,['Banana']
007982.jpg,['Chocolate mousse']
007987.jpg,['Chocolate mousse']
007988.jpg,['Chocolate mousse']
007989.jpg,"['Coffee, with caffeine']"
007991.jpg,['Banana']
007992.jpg,['Chocolate cookies']
007996.jpg,"['Salad, leaf / salad, green', 'Cheese']"
008001.jpg,"['Mixed nuts', 'Berries']"
008002.jpg,"['Yaourt, yahourt, yogourt ou yoghourt, natural']"
008003.jpg,['Apple pie']
008006.jpg,"['Cake, chocolate']"
008007.jpg,['Banana']
008010.jpg,"['Bread, white']"
008011.jpg,"['Milk chocolate', 'Chocolate cookies']"
008013.jpg,"['White coffee, with caffeine']"
008017.jpg,"['Mixed salad (chopped without sauce)', 'Oil & vinegar salad dressing']"
008021.jpg,"['Coffee, with caffeine']"
008029.jpg,"['Chicken', 'Vegetable mix, peas and carrots', 'Cream']"
008030.jpg,['Tea']
008033.jpg,"['Bread, white', 'Mandarine']"
008037.jpg,"['Bread, grain', 'Butter']"
008038.jpg,"['White coffee, with caffeine']"
008039.jpg,"['Bread, white']"
008042.jpg,"['Panna cotta', 'Chocolate mousse']"
008045.jpg,"['Soup, Miso']"
008048.jpg,"['Pork, escalope', 'White cabbage']"
008049.jpg,"['Pear', 'Apple']"
008050.jpg,['Milk chocolate']
008052.jpg,"['Wine, red']"
008053.jpg,['Dark chocolate']
008057.jpg,['Milk chocolate']
008059.jpg,"['Mixed seeds', 'Butter', 'Cenovis, yeast spread']"
008060.jpg,"['Bread, white', 'Butter', 'Cenovis, yeast spread']"
008061.jpg,"['Butter', 'Bread, white', 'Honey']"
008066.jpg,"['Coffee, with caffeine']"
008067.jpg,"['White coffee, with caffeine']"
008070.jpg,"['Vegetable mix, peas and carrots', 'French beans', 'Pork']"
008071.jpg,"['Tomato, raw ', 'Beetroot, raw', 'Egg', 'Cucumber', 'Walnut', 'Tofu', 'Chives']"
008072.jpg,"['Salad, leaf / salad, green']"
008076.jpg,['Mandarine']
008079.jpg,"['Meat terrine, paté', 'Mixed seeds']"
008080.jpg,['Grissini']
008086.jpg,"['French beans', 'Bacon']"
008087.jpg,['Water']
008089.jpg,['Banana']
008090.jpg,"['Bread, whole wheat', 'Butter', 'Jam']"
008094.jpg,['Milk']
008095.jpg,"['Oat milk', 'Müesli']"
008096.jpg,"['White coffee, with caffeine']"
008104.jpg,['Apple']
008109.jpg,"['Tofu', 'Mushrooms', 'Beef', 'Leaf spinach', 'Carrot, raw']"
008110.jpg,"['Ketchup', 'Shrimp / prawn (small)']"
008116.jpg,"['White coffee, with caffeine']"
008117.jpg,['Water']
008118.jpg,['Banana']
008119.jpg,"['Meat terrine, paté', 'Mixed seeds']"
008122.jpg,"['Cake, chocolate', 'Cheesecake']"
008126.jpg,['Milk']
008128.jpg,"['Pizza, Margherita, baked', 'Anchovies', 'Capers', 'Black olives']"
008132.jpg,['Panna cotta']
008142.jpg,['Roll with pieces of chocolate']
008143.jpg,"['White coffee, with caffeine']"
008144.jpg,"['White coffee, with caffeine']"
008149.jpg,"['Hamburger (Bread, meat, ketchup)', 'Cheese', 'Chips, french fries']"
008150.jpg,['Apple']
008151.jpg,"['Salad, leaf / salad, green', 'Oil & vinegar salad dressing']"
008155.jpg,"['Crêpe, plain', 'Maple syrup (Concentrate)']"
008165.jpg,"['White coffee, with caffeine']"
008173.jpg,"['Bread, 5-grain']"
008175.jpg,"['Sausage', 'Mushrooms', 'Egg']"
008177.jpg,"[""Salad, lambs' ear"", 'Oil & vinegar salad dressing']"
008179.jpg,['Apple']
008186.jpg,['Veal sausage']
008187.jpg,"['Apple', 'Salad, leaf / salad, green']"
008188.jpg,"['Salad, leaf / salad, green', 'Oil & vinegar salad dressing']"
008189.jpg,"['Wine, red']"
008190.jpg,"['White coffee, with caffeine']"
008192.jpg,"['Cake, chocolate', 'Chocolate mousse']"
008195.jpg,['Banana']
008196.jpg,['Water']
008197.jpg,"['White coffee, with caffeine']"
008198.jpg,"['Pizza, Margherita, baked', 'Mozzarella']"
008201.jpg,"['Sandwich (ham, cheese and butter)', 'Tomato, raw ', 'Salad, leaf / salad, green']"
008202.jpg,"['Pizza, Margherita, baked', 'Ham, cooked', 'Mushrooms', 'Black olives']"
008203.jpg,['Mandarine']
008205.jpg,['Apple']
008206.jpg,['Water']
008207.jpg,['Milk']
008210.jpg,"['Salad, leaf / salad, green']"
008211.jpg,['Mixed seeds']
008213.jpg,['Mandarine']
008214.jpg,['Mandarine']
008215.jpg,['Mandarine']
008216.jpg,"['Egg', 'Sausage', 'Mushrooms']"
008219.jpg,['Apple']
008220.jpg,['Apple']
008221.jpg,"['Coffee, with caffeine']"
008222.jpg,"['White coffee, with caffeine']"
008225.jpg,['Banana']
008226.jpg,['Water']
008229.jpg,"['White coffee, with caffeine']"
008231.jpg,['Apple']
008232.jpg,"['Bolognaise sauce', 'Pasta in butterfly form, farfalle', 'Hard cheese']"
008234.jpg,['Apple']
008235.jpg,['Water']
008240.jpg,"['White coffee, with caffeine']"
008241.jpg,['Banana']
008242.jpg,['Apple']
008246.jpg,['Banana']
008247.jpg,"['Chips, french fries', 'Hamburger (Bread, meat, ketchup)']"
008280.jpg,"['Croque monsieur', 'Tomato, raw ']"
008281.jpg,"['White coffee, with caffeine']"
008286.jpg,['Banana']
008287.jpg,"['White coffee, with caffeine']"
008295.jpg,"['Avocado', 'Egg', 'Cooked sausage', 'Tomato, raw ']"
008300.jpg,['Croissant with chocolate filling']
008356.jpg,"['Carrot, raw', 'Shrimp / prawn (small)', 'Zucchini']"
008357.jpg,"['Soup, vegetable']"
008397.jpg,"['Grits, polenta, maize flour', 'Tomato sauce']"
008398.jpg,['Mixed salad (chopped without sauce)']
008410.jpg,"['Mixed salad (chopped without sauce)', 'Oil & vinegar salad dressing']"
008465.jpg,"['Cake, chocolate']"
008467.jpg,"['Cake, chocolate']"
008474.jpg,"['Mixed vegetables', 'Chicken, cut into stripes (only meat)']"
008475.jpg,"['Bell pepper, red, raw ', 'Vegetable mix, peas and carrots']"
008479.jpg,"['Fajita (bread only)', 'Salad, leaf / salad, green', 'Tomato, raw ']"
008481.jpg,"['Hummus', 'Meat terrine, paté', 'Butter', 'Bell pepper, red, raw ']"
008483.jpg,"['Potatoes au gratin, dauphinois, prepared', 'Fish']"
008488.jpg,"['Eggplant', 'Guacamole', 'Zucchini']"
008489.jpg,"['Bolognaise sauce', 'Pasta, spaghetti', 'Parmesan']"
008490.jpg,"['Sour cream', 'Swiss chard']"
008498.jpg,"['Witloof chicory', 'Ham, cooked', 'Parsley']"
008499.jpg,['Ratatouille']
008501.jpg,"['Coffee, with caffeine']"
008507.jpg,"['Coffee, with caffeine']"
008508.jpg,['Chocolate mousse']
008512.jpg,['Tiramisu']
008513.jpg,['Water']
008519.jpg,['Egg']
008520.jpg,"['Bread, nut', 'Hazelnut-chocolate spread(Nutella, Ovomaltine, Caotina)']"
008521.jpg,"['Coffee, with caffeine']"
008522.jpg,"['Lentils', 'Ham, cooked', 'Potatoes steamed']"
008523.jpg,['Avocado']
008524.jpg,['Egg']
008526.jpg,['Kiwi']
008528.jpg,"['Mixed salad (chopped without sauce)', 'Tomato, raw ', 'Cucumber', 'Balsamic salad dressing']"
008529.jpg,['Water']
008530.jpg,"['Pork, roast', 'Broccoli', 'Carrot, raw', 'Sauce, roast']"
008531.jpg,"['Rice, Basmati', 'Carrot, raw', 'Mixed vegetables', 'Sauce, curry']"
008532.jpg,"['Mixed salad (chopped without sauce)', 'Oil & vinegar salad dressing']"
008533.jpg,['Apricots']
008534.jpg,"['French beans', 'Sauce, cream']"
008535.jpg,"['Soup, vegetable', 'Bread, spelt', 'Water']"
008537.jpg,"['Water, mineral']"
008538.jpg,"['Tea, green']"
008539.jpg,"['Water, mineral', 'Latte macchiato, with caffeine']"
008540.jpg,"['Tea', 'Mandarine']"
008542.jpg,"['Cordon bleu, from pork schnitzel, fried', 'Carrot, raw']"
008543.jpg,"['Water, mineral']"
008544.jpg,"['Walnut', 'Water, mineral']"
008546.jpg,"['Hamburger (Bread, meat, ketchup)', 'Processed cheese']"
008547.jpg,"['Water, mineral', 'Panna cotta']"
008554.jpg,"['Water, mineral']"
008557.jpg,"['Carrot, raw', 'Sauce, cream', 'Bacon']"
008560.jpg,"['Tea, green']"
008564.jpg,"['Müesli', 'Chocolate milk, chocolate drink', 'Banana']"
008565.jpg,"['Tea, green', 'Walnut']"
008569.jpg,"['Rice', 'Hamburger', 'Tomato, raw ']"
008570.jpg,"['Sweet potato', 'Swiss chard', 'Quinoa', 'Kolhrabi', 'Coconut milk', 'White radish']"
008571.jpg,['Water']
008572.jpg,"['Sauce, cream']"
008583.jpg,"['Banana', 'Dark chocolate']"
008588.jpg,['Water']
008596.jpg,"['Fish', 'Carrot, raw', 'Sauce, cream']"
008599.jpg,"['Wine, white', 'Fresh cheese']"
008600.jpg,"['French beans', 'Vegetables']"
008607.jpg,['Water with lemon juice']
008616.jpg,"['Cake, chocolate']"
008618.jpg,"['Tomato, raw ', 'Ham', 'Bouquet garni']"
008619.jpg,['Water']
008620.jpg,['Tea']
008621.jpg,"['Bread, wholemeal', 'Butter']"
008622.jpg,['Water']
008623.jpg,"['Crêpe, plain']"
008624.jpg,['Kefir drink']
008625.jpg,"['Bread, 5-grain', 'Butter, spread, puree almond', 'Bread, grain']"
008626.jpg,['Water']
008627.jpg,"['Tea, green']"
008628.jpg,"['Muffin', 'Blueberries']"
008629.jpg,['Water']
008630.jpg,"['Tomato, raw ', 'Carrot, raw', 'Lasagne, meat, prepared']"
008631.jpg,"['Rice, Basmati', 'Chili con carne, prepared']"
008632.jpg,"['Juice, multifruit']"
008633.jpg,['Water']
008635.jpg,"['Water, mineral']"
008637.jpg,"['Cake, salted', ""Salad, lambs' ear""]"
008639.jpg,"['Water, mineral']"
008640.jpg,"['Mixed vegetables', 'Sauce, soya']"
008642.jpg,"['Water, mineral']"
008645.jpg,['Mandarine']
008646.jpg,['Apple']
008647.jpg,"['Coffee, with caffeine']"
008650.jpg,"['Cauliflower', 'Leaf spinach', 'Rosti', 'Bacon, cooking', 'Sauce (savoury)', 'Fish']"
008651.jpg,"['Espresso, with caffeine']"
008655.jpg,['Water']
008664.jpg,['Water']
008668.jpg,"['Salad, leaf / salad, green', 'Mixed seeds']"
008671.jpg,['Water']
008674.jpg,"['Pumpkin seeds', 'Soup, pumpkin']"
008678.jpg,"['Shrimp / prawn (small)', 'Feta', 'Tomato, raw ']"
008679.jpg,"['French beans', 'Shrimp / prawn (large)', 'Feta', 'Tomato, raw ', 'Bell pepper, red, raw ']"
008684.jpg,"['Salad, leaf / salad, green', 'Potatoes steamed', 'Sun-dried tomatoe', 'Black olives', 'Parsley']"
008690.jpg,"['Carrot, raw', 'Cream', 'Mixed vegetables']"
008695.jpg,['Kefir drink']
008700.jpg,"['Tea, green']"
008711.jpg,['Muffin']
008714.jpg,"['Tea, green']"
008715.jpg,"['Salmon, smoked']"
008716.jpg,['Herbal tea']
008717.jpg,['Water']
008719.jpg,['Water']
008720.jpg,['Water']
008721.jpg,['Apple']
008722.jpg,"['Banana', 'Water']"
008724.jpg,"['Leaf spinach', 'Potatoes steamed', 'Onion']"
008726.jpg,"['Juice, multifruit']"
008728.jpg,['Mandarine']
008731.jpg,"['Witloof chicory', 'Ham, cooked', 'Processed cheese']"
008732.jpg,"['Chicken', 'Rice', 'Bell pepper, red, raw ']"
008735.jpg,"['Falafel (balls)', 'Rice', 'Eggplant']"
008736.jpg,"['Water', 'Water, mineral']"
008737.jpg,"['Pasta, spaghetti', 'Sauce, pesto']"
008738.jpg,"['Tofu', 'Chickpeas']"
008740.jpg,"['Pasta, twist', 'Cauliflower', 'Cervelat']"
008741.jpg,"['Bread, whole wheat']"
008742.jpg,"['Tea, verveine']"
008743.jpg,['Water']
008744.jpg,"['Omelette, plain', 'Tuna', 'Bread, whole wheat', 'Hummus', 'Egg, scrambled, prepared']"
008746.jpg,"['Hamburger (Bread, meat, ketchup)']"
008748.jpg,"['Wine, red']"
008751.jpg,"['Pasta, Hörnli', 'Mayonnaise']"
008752.jpg,"['Mixed salad (chopped without sauce)', 'Tomato, raw ']"
008753.jpg,"['Water', 'Wine, red']"
008761.jpg,"['Hamburger (Bread, meat, ketchup)', 'Salad, leaf / salad, green']"
008765.jpg,['Tea']
008771.jpg,['Sekt']
008772.jpg,"['Water, mineral']"
008774.jpg,"['Soup, pumpkin', 'Cream', 'Sorbet']"
008775.jpg,"['Apple pie', 'Balsamic vinegar', 'Almonds', 'Brioche']"
008778.jpg,"['Pasta, noodles']"
008779.jpg,"['Fondue', 'Bread, white']"
008780.jpg,"['Fondue', 'Bread']"
008787.jpg,"['Beef, filet', 'Potatoes steamed', 'Dates', 'Broccoli', 'Carrot, raw', 'French beans']"
008790.jpg,"['Wine, red']"
008795.jpg,['Water']
008801.jpg,"['Orange', 'Pomegranate']"
008803.jpg,"['Sorbet', 'Mango']"
008812.jpg,"['Tea, verveine']"
008814.jpg,"['Coffee, with caffeine']"
008817.jpg,"['Wine, white']"
008826.jpg,['Water']
008828.jpg,"['Coffee, with caffeine']"
008829.jpg,"['Pasta, spaghetti']"
008832.jpg,"['Bread, grain', 'Ham, raw', 'Semi-hard cheese']"
008833.jpg,"['Tea, green']"
008839.jpg,"['Bread, wholemeal', 'Egg, scrambled, prepared', 'Bacon, frying']"
008840.jpg,"['Ristretto, with caffeine']"
008841.jpg,"['Juice, orange']"
008842.jpg,['Roll with pieces of chocolate']
008848.jpg,"['Cod', 'Carrot, raw', 'Rice']"
008851.jpg,"['Tart', 'Cake, chocolate']"
008852.jpg,"['Cake, chocolate', 'Tart']"
008854.jpg,['Tart']
008856.jpg,['Tea']
008858.jpg,"['Meat terrine, paté', 'Dough (puff pastry, shortcrust, bread, pizza dough)', 'Leek']"
008861.jpg,"['Ristretto, with caffeine']"
008864.jpg,['Ice tea']
008865.jpg,['Water']
008869.jpg,"['Pizza, Margherita, baked', 'Ham, raw', 'Mushrooms']"
008873.jpg,"['Coca Cola', 'Lemon']"
008876.jpg,"['Salad, leaf / salad, green']"
